username,comments_clean,text_preprocessed,polarity_score,polarity
_opick_suaeb,jajaran keluarga rt yang dapat stb gratisss,"['jajar', 'keluarga', 'rt', 'stb', 'gratisss']",1,positive
shifa.rizki,apa ini akun kominfo isinya spam smua ,"['akun', 'kominfo', 'isi', 'spam', 'smua']",-6,negative
alan_bw,hmm benahi support system biar seluruh channel agar dapat dijangkau seluruh masyarakat jangan cuma bikin aturan tapi ga ada solusi saya sudah beli tv digital baru tapi nonton tv digital isinya blank dan patah kan kalo gini jadi males nonton tv jadi tolong kominfo saya tegaskan benahi infrastruktur dan support system agar saluran tv digital dapat maksimal dan dinikmati masyarakat,"['hmm', 'benah', 'support', 'system', 'biar', 'channel', 'jangkau', 'masyarakat', 'bikin', 'atur', 'ga', 'solusi', 'beli', 'tv', 'digital', 'nonton', 'tv', 'digital', 'isi', 'blank', 'patah', 'kalo', 'gin', 'males', 'nonton', 'tv', 'tolong', 'kominfo', 'tegas', 'benah', 'infrastruktur', 'support', 'system', 'salur', 'tv', 'digital', 'maksimal', 'nikmat', 'masyarakat']",3,positive
samsir_adrian,ada yg sudah digital tapi belum hd ngga enak ditonton gambar orang nya gendut gedut dan pendek padahal itu tv swasta terkenal,"['yg', 'digital', 'hd', 'ngga', 'enak', 'tonton', 'gambar', 'orang', 'nya', 'gendut', 'gedut', 'pendek', 'tv', 'swasta', 'kenal']",-9,negative
zaenaljr,ganti ke digital eh stasiun tv nya blom semua tersedia di wilayah sini,"['ganti', 'digital', 'eh', 'stasiun', 'tv', 'nya', 'blom', 'sedia', 'wilayah']",2,positive
t4keru,alah hoax dr jaman taun kapan ge hoax mulu,"['alah', 'hoax', 'dr', 'jaman', 'taun', 'ge', 'hoax', 'mulu']",-22,negative
master_bigpapa,tolong blokir itu link judi online yng banyak beredar,"['tolong', 'blokir', 'link', 'judi', 'online', 'yng', 'edar']",-3,negative
aldoone01,ga adaa yaa ga ada tuh dikampung saya pembagian stb ngacoo si ibu,"['ga', 'adaa', 'yaa', 'ga', 'tuh', 'kampung', 'bagi', 'stb', 'ngacoo', 'si']",-2,negative
anezciel91,gausah ada stbstb gratiskan internet saja emang manfaatnya apa kalo tv analog dipindah ke digital kalo isinya blunder dan acara yg ga mendidik kalo nanti isinya acara yg inovatif baru bagus kalo isinya sama aja ky tv analog yg setiap harinya sinetron hiburan anak pendidikan dan olahraga ga ada sama aja kerja kalian ga bener cuma buang duit rakyat untuk infrastruktur yg ga penting lebih nyampah dari sampah masyarakat kalo gitu kami tau komentar kami pasti ga dibaca tapi kami juga ga menginginkan adanya kalian,"['gausah', 'stbstb', 'gratis', 'internet', 'emang', 'manfaat', 'kalo', 'tv', 'analog', 'pindah', 'digital', 'kalo', 'isi', 'blunder', 'acara', 'yg', 'ga', 'didik', 'kalo', 'isi', 'acara', 'yg', 'inovatif', 'bagus', 'kalo', 'isi', 'aja', 'ky', 'tv', 'analog', 'yg', 'hari', 'sinetron', 'hibur', 'anak', 'didik', 'olahraga', 'ga', 'aja', 'kerja', 'ga', 'bener', 'buang', 'duit', 'rakyat', 'infrastruktur', 'yg', 'ga', 'nyampah', 'sampah', 'masyarakat', 'kalo', 'gitu', 'tau', 'komentar', 'ga', 'baca', 'ga']",-15,negative
inggridavenue,kenapa ya di youtube sekarang iklan nya kebanyakan aplikasi pinjol sangat meresahkan mohon lebih di filter lg krna pinjol lg marak memakan korban terima kasih,"['ya', 'youtube', 'iklan', 'nya', 'banyak', 'aplikasi', 'pinjol', 'resah', 'mohon', 'filter', 'lg', 'krna', 'pinjol', 'lg', 'marak', 'makan', 'korban', 'terima', 'kasih']",-10,negative
irma.rahmawati2b, di rumah keluarga saya  hanya ada tv analog dan itu salah satu sumner hiburan keluarga,"['rumah', 'keluarga', 'tv', 'analog', 'salah', 'sumner', 'hibur', 'keluarga']",-2,negative
oshmara19,yang penting blokir judi online aja  pasti rakyat indonesia senang,"['blokir', 'judi', 'online', 'aja', 'rakyat', 'indonesia', 'senang']",-2,negative
iskandar_dragon,emang apa penting nya dimatikan siaran analog yang lebih penting gimana data masyarakat indonesia tdk di jual belikan oleh healer,"['emang', 'nya', 'mati', 'siar', 'analog', 'gimana', 'data', 'masyarakat', 'indonesia', 'tdk', 'jual', 'belikan', 'healer']",-4,negative
lantentions,terus misal ada berita penting gmnyang gak punya tv digital🤓,"['berita', 'gmnyang', 'gak', 'tv', 'digital']",-4,negative
sihatipatah,gimana mau pindah ke tv digital kalau chanel tvnya belumlah lengkap daerah madura masih belum sepenuhnya stasiun tvnya pindah ke siaran digital tolong segera ditindak lanjuti,"['gimana', 'pindah', 'tv', 'digital', 'chanel', 'tvnya', 'lengkap', 'daerah', 'madura', 'sepenuh', 'stasiun', 'tvnya', 'pindah', 'siar', 'digital', 'tolong', 'tindak', 'lanjut']",-10,negative
khoirulrivani,stabilkan aja dulu di daerah daerah masih sangat susah dijangkau menggunakan stb merek apapun karena didaerah masih banyak pepohonan tinggi didaerah tolong diperbanyak tower pemancar sinyal digital dulu setelah semua stabil baru analog dimatikan,"['stabil', 'aja', 'daerah', 'daerah', 'susah', 'jangkau', 'stb', 'merek', 'apa', 'daerah', 'pohon', 'daerah', 'tolong', 'banyak', 'tower', 'pancar', 'sinyal', 'digital', 'stabil', 'analog', 'mati']",-7,negative
